TransactionID,Items
1,Milk
1,Bread
1,Butter
1,Pulses
2,Milk
2,Bread
2,Butter
2,Biscuits
2,Eggs
2,Coffee
3,Rice
3,Soap
3,Biscuits
3,Milk
3,Bread
3,Pulses
4,Rice
4,Pulses
4,Detergent
4,Bread
4,Butter
4,Shampoo
5,Rice
5,Pulses
5,Milk
5,Shampoo
5,Snacks
6,Rice
6,Pulses
6,Milk
7,Milk
7,Bread
7,Butter
7,Pulses
7,Tea
8,Rice
8,Soap
8,Juice
9,Milk
9,Bread
9,Butter
10,Milk
10,Bread
10,Butter
10,Detergent
10,Snacks
10,Shampoo
11,Milk
11,Bread
11,Butter
11,Eggs
12,Soap
12,Shampoo
12,Detergent
12,Bread
12,Biscuits
12,Eggs
13,Tea
13,Biscuits
13,Pulses
14,Rice
14,Pulses
15,Rice
15,Pulses
15,Juice
16,Rice
16,Pulses
16,Tea
16,Butter
17,Milk
17,Bread
17,Butter
18,Rice
18,Pulses
18,Eggs
18,Milk
19,Rice
19,Pulses
20,Soap
20,Shampoo
20,Detergent
21,Rice
21,Pulses
21,Butter
21,Soap
22,Soap
22,Shampoo
22,Detergent
23,Rice
23,Pulses
24,Rice
24,Pulses
25,Rice
25,Pulses
25,Tea
26,Tea
26,Biscuits
26,Juice
27,Rice
27,Pulses
27,Tea
27,Milk
27,Shampoo
28,Milk
28,Detergent
28,Butter
28,Rice
29,Tea
29,Biscuits
30,Soap
30,Shampoo
30,Detergent
30,Rice
30,Coffee
31,Tea
31,Biscuits
32,Tea
32,Biscuits
32,Pulses
32,Bread
32,Butter
32,Eggs
33,Milk
33,Bread
33,Butter
33,Snacks
33,Tea
34,Tea
34,Biscuits
34,Detergent
34,Pulses
35,Rice
35,Pulses
35,Milk
36,Milk
36,Bread
36,Butter
36,Rice
37,Milk
37,Bread
37,Butter
37,Snacks
37,Pulses
38,Rice
38,Pulses
38,Snacks
39,Rice
39,Biscuits
40,Tea
40,Biscuits
40,Shampoo
40,Bread
40,Pulses
41,Milk
41,Bread
41,Butter
42,Pulses
42,Juice
42,Rice
43,Tea
43,Biscuits
44,Tea
44,Biscuits
44,Eggs
44,Bread
44,Juice
44,Shampoo
45,Rice
45,Pulses
45,Tea
45,Butter
45,Soap
45,Shampoo
46,Soap
46,Shampoo
46,Detergent
46,Pulses
47,Eggs
47,Bread
47,Juice
47,Rice
47,Milk
48,Tea
48,Snacks
48,Rice
48,Bread
48,Detergent
49,Soap
49,Shampoo
49,Detergent
50,Milk
50,Bread
50,Butter
50,Biscuits
50,Tea
51,Coffee
51,Pulses
51,Tea
51,Detergent
51,Butter
52,Soap
52,Shampoo
52,Detergent
52,Coffee
52,Butter
53,Tea
53,Biscuits
53,Pulses
53,Detergent
53,Shampoo
53,Bread
54,Milk
54,Bread
54,Butter
54,Biscuits
54,Shampoo
54,Tea
55,Pulses
55,Bread
55,Rice
56,Milk
56,Bread
56,Butter
57,Snacks
57,Bread
58,Tea
58,Biscuits
58,Coffee
59,Juice
59,Butter
59,Coffee
59,Tea
59,Snacks
59,Rice
60,Soap
60,Shampoo
60,Detergent
61,Tea
61,Biscuits
62,Rice
62,Pulses
62,Biscuits
63,Milk
63,Bread
63,Butter
63,Detergent
63,Tea
64,Pulses
64,Coffee
64,Eggs
64,Soap
64,Tea
64,Rice
65,Milk
65,Bread
65,Butter
66,Rice
66,Pulses
66,Detergent
66,Bread
67,Tea
67,Biscuits
67,Eggs
67,Soap
67,Coffee
68,Tea
68,Biscuits
68,Snacks
68,Bread
68,Coffee
68,Shampoo
69,Milk
69,Bread
69,Butter
69,Pulses
69,Coffee
70,Soap
70,Shampoo
70,Detergent
71,Soap
71,Shampoo
71,Detergent
71,Coffee
72,Coffee
72,Snacks
72,Soap
72,Tea
72,Eggs
73,Soap
73,Shampoo
73,Detergent
74,Rice
74,Pulses
74,Detergent
74,Biscuits
75,Eggs
75,Soap
76,Milk
76,Bread
76,Butter
77,Milk
77,Bread
77,Butter
77,Shampoo
77,Soap
77,Biscuits
78,Tea
78,Biscuits
79,Tea
79,Biscuits
80,Soap
80,Shampoo
80,Detergent
80,Butter
80,Snacks
80,Milk
81,Milk
81,Bread
81,Butter
82,Milk
82,Bread
82,Butter
82,Detergent
82,Juice
83,Eggs
83,Detergent
84,Tea
84,Biscuits
84,Butter
84,Soap
84,Detergent
85,Rice
85,Pulses
85,Biscuits
85,Milk
85,Soap
85,Tea
86,Tea
86,Biscuits
86,Juice
86,Milk
86,Detergent
86,Butter
87,Soap
87,Shampoo
87,Detergent
88,Tea
88,Biscuits
89,Tea
89,Biscuits
90,Rice
90,Pulses
91,Rice
91,Pulses
91,Milk
91,Juice
91,Snacks
91,Detergent
92,Milk
92,Bread
92,Butter
92,Pulses
93,Milk
93,Bread
93,Butter
93,Shampoo
93,Eggs
93,Tea
94,Milk
94,Bread
94,Butter
94,Tea
95,Snacks
95,Tea
96,Rice
96,Pulses
96,Biscuits
96,Eggs
97,Soap
97,Shampoo
97,Detergent
98,Soap
98,Snacks
98,Butter
98,Eggs
99,Soap
99,Shampoo
99,Detergent
100,Soap
100,Shampoo
100,Detergent
100,Tea
100,Rice
100,Pulses
101,Rice
101,Pulses
101,Butter
101,Soap
101,Snacks
102,Butter
102,Tea
103,Bread
103,Shampoo
103,Detergent
104,Juice
104,Rice
104,Milk
105,Milk
105,Bread
105,Butter
105,Biscuits
106,Rice
106,Pulses
106,Detergent
106,Snacks
107,Rice
107,Pulses
107,Milk
107,Butter
107,Shampoo
108,Milk
108,Bread
108,Butter
108,Detergent
109,Tea
109,Biscuits
109,Snacks
109,Juice
109,Eggs
109,Pulses
110,Tea
110,Biscuits
110,Rice
110,Butter
110,Juice
110,Milk
111,Milk
111,Bread
111,Butter
112,Soap
112,Shampoo
112,Detergent
112,Rice
112,Bread
113,Soap
113,Shampoo
113,Detergent
114,Rice
114,Pulses
114,Detergent
114,Milk
114,Shampoo
114,Tea
115,Pulses
115,Eggs
115,Juice
115,Coffee
115,Snacks
115,Tea
116,Milk
116,Bread
116,Butter
117,Milk
117,Bread
117,Butter
118,Pulses
118,Eggs
118,Bread
118,Tea
118,Milk
119,Milk
119,Bread
119,Butter
119,Eggs
120,Milk
120,Bread
120,Butter
121,Soap
121,Shampoo
121,Detergent
121,Eggs
122,Tea
122,Pulses
122,Milk
122,Rice
122,Coffee
122,Butter
123,Tea
123,Biscuits
123,Butter
123,Milk
123,Snacks
123,Coffee
124,Tea
124,Biscuits
124,Snacks
124,Soap
124,Bread
125,Tea
125,Biscuits
126,Milk
126,Bread
126,Butter
126,Snacks
126,Juice
127,Tea
127,Biscuits
128,Detergent
128,Eggs
128,Biscuits
128,Butter
128,Bread
129,Rice
129,Pulses
129,Bread
130,Rice
130,Pulses
130,Shampoo
131,Milk
131,Bread
131,Butter
131,Shampoo
131,Biscuits
131,Pulses
132,Juice
132,Detergent
132,Milk
132,Tea
133,Milk
133,Bread
133,Butter
134,Tea
134,Biscuits
134,Soap
135,Soap
135,Shampoo
135,Detergent
135,Rice
135,Milk
135,Juice
136,Milk
136,Bread
136,Butter
136,Biscuits
136,Detergent
137,Coffee
137,Detergent
137,Pulses
137,Shampoo
137,Bread
138,Milk
138,Bread
138,Butter
139,Milk
139,Bread
139,Butter
139,Pulses
139,Snacks
140,Milk
140,Bread
140,Butter
140,Eggs
140,Coffee
141,Milk
141,Eggs
142,Tea
142,Biscuits
143,Rice
143,Pulses
144,Tea
144,Biscuits
144,Butter
144,Bread
144,Eggs
144,Juice
145,Tea
145,Biscuits
146,Rice
146,Pulses
147,Milk
147,Bread
147,Butter
